,BLEU_fra_baseline,chrF_fra_baseline,BERTScore_fra_baseline,BLEU_fra_mcqa,chrF_fra_mcqa,BERTScore_fra_mcqa,BLEU_fra_translate_with_context,chrF_fra_translate_with_context,BERTScore_fra_translate_with_context,BLEU_arb_baseline,chrF_arb_baseline,BERTScore_arb_baseline,BLEU_arb_mcqa,chrF_arb_mcqa,BERTScore_arb_mcqa,BLEU_arb_translate_with_context,chrF_arb_translate_with_context,BERTScore_arb_translate_with_context,BLEU_azj_baseline,chrF_azj_baseline,BERTScore_azj_baseline,BLEU_azj_mcqa,chrF_azj_mcqa,BERTScore_azj_mcqa,BLEU_azj_translate_with_context,chrF_azj_translate_with_context,BERTScore_azj_translate_with_context,COMET_fra_baseline,COMET_fra_mcqa,COMET_fra_translate_with_context,COMET_arb_baseline,COMET_arb_mcqa,COMET_arb_translate_with_context,COMET_azj_baseline,COMET_azj_mcqa,COMET_azj_translate_with_context
41,42.311785416105785,59.4376410422497,0.9202402830123901,12.069505116436089,43.26534978428321,0.7768973708152771,42.311785416105785,59.4376410422497,0.9202402830123901,20.164945583740657,53.29425033048138,0.892339289188385,7.681104116622756,39.3978735261792,0.7697311639785767,41.11336169005198,64.11040911735438,0.8897522687911987,9.599621398238426,37.158812410992574,0.8253564834594727,17.89570640154152,56.151595563916956,0.7393664121627808,7.764220917386238,29.875906952704245,0.8018374443054199,0.8791324496269226,0.6198295950889587,0.8791324496269226,0.7627437114715576,0.6902977824211121,0.8258904218673706,0.7132248282432556,0.6713259816169739,0.6818155646324158
42,66.00918742505016,83.82167023631031,0.9644370675086975,77.3504909243674,87.38052136930085,0.9703894853591919,58.46610433384775,81.19503024888867,0.9574956893920898,47.467913885027954,74.318997128579,0.9065839052200317,37.63278728427449,69.04947831795502,0.9100714921951294,34.89214645008508,64.8417966777554,0.9102656841278076,20.052032496997427,43.31409788980553,0.7809658646583557,22.50265947708922,42.81310709604057,0.765273928642273,23.85948537905441,46.39214103554733,0.8167132139205933,0.9178921580314636,0.9176598787307739,0.9158369302749634,0.8837614059448242,0.8701394200325012,0.8719432950019836,0.8702890872955322,0.8819093704223633,0.8830153942108154
43,31.27670021100431,55.574439178291904,0.8669077754020691,48.84391791679523,65.53364933209352,0.8878509998321533,30.780921041694775,53.232034634517625,0.8648533225059509,15.787761984571144,38.654116851897264,0.8317502737045288,5.356850921756574,41.210403100872774,0.7915488481521606,15.787761984571144,38.654116851897264,0.8317502737045288,4.065425428798724,43.239990193422365,0.8073840141296387,1.962672844874697,39.36091588132982,0.766396701335907,4.016138436407654,45.21989398059676,0.8180732727050781,0.8992959856987,0.9118008613586426,0.9034373760223389,0.7906802892684937,0.8107120990753174,0.7906802892684937,0.8863231539726257,0.8076276779174805,0.9257822036743164
44,66.85376886716391,87.29124775339162,0.9288910627365112,33.71126414993385,71.15501109773169,0.8346771001815796,94.57416090031757,97.68636687854726,0.9786567687988281,20.200106912694157,61.37237830362877,0.8701185584068298,1.4780822562194806,33.94490152532839,0.7414242029190063,12.571192676522521,39.872444694917284,0.8254228234291077,22.025684816521746,47.65357028780705,0.9003384709358215,10.625281384457027,47.186488596613444,0.8088991045951843,21.507070017014073,47.29667049339391,0.9012985229492188,0.9454147219657898,0.7969655394554138,0.9635008573532104,0.8419332504272461,0.7070415616035461,0.8475080132484436,0.9199873805046082,0.8453122973442078,0.9195259213447571
45,79.67232840950678,82.24950790578056,0.9695962071418762,79.67232840950678,82.24950790578056,0.9695962071418762,63.068437684145124,72.97512620562628,0.9596190452575684,43.78186940457314,73.4141036808194,0.9281163215637207,32.91929878079057,60.03467325762028,0.9120737910270691,41.40633561584793,67.34412582223587,0.9278846979141235,15.777191181545202,32.0659148167973,0.8240280151367188,2.989081421134522,16.669985339226624,0.7734107971191406,15.732647746232502,31.86912403739033,0.8236993551254272,0.9318602085113525,0.9318602085113525,0.9193838238716125,0.8671956062316895,0.8133543133735657,0.8573474287986755,0.8879657983779907,0.7641364932060242,0.8886026740074158
46,41.577685147811735,66.45463820599882,0.9291135668754578,33.61336783650558,59.69897142928474,0.8923771977424622,40.810303219840115,64.57295881835374,0.9038435220718384,6.898310425508558,44.94588204681121,0.8083868622779846,10.6461041358917,47.54666515373886,0.8186846971511841,9.094793996067798,50.961326788341175,0.8159797191619873,15.87472899368401,44.35487629564191,0.7824228405952454,11.857020645058961,47.534893428474184,0.7761397361755371,11.146727460890448,45.391521851408505,0.7901874780654907,0.885500431060791,0.8917741775512695,0.8986977338790894,0.8060882091522217,0.8170903921127319,0.7734031081199646,0.8749075531959534,0.8674312233924866,0.8666693568229675
47,27.289161916937907,62.270586049569644,0.9027274250984192,30.504241831465897,58.911873937882916,0.8650265336036682,29.430084654393667,60.11992886570682,0.9000570178031921,7.574673616455972,51.73177741475327,0.8750102519989014,6.466788541483784,54.824425972908784,0.880301296710968,5.218250720450412,46.246712890958,0.8491678237915039,9.637411586929977,43.527194663493816,0.8013173937797546,8.763183317285746,42.036686788876445,0.8336569666862488,7.831957705977147,39.57726907844366,0.7870132327079773,0.8256400227546692,0.826554000377655,0.8400112986564636,0.8119891881942749,0.8036171793937683,0.8069655895233154,0.8912419676780701,0.8861638903617859,0.7994163036346436
48,42.32691015191597,64.8362247605865,0.9211127758026123,53.4156557789369,73.15933214860337,0.9487279653549194,41.183038737815856,71.5728241399758,0.9465762972831726,51.249480270291265,72.17632646636775,0.9196870923042297,41.65767636794606,70.96940759654623,0.9160417914390564,45.56794776992747,70.03037382334577,0.9125064015388489,15.511550090520089,50.69915206601515,0.8420560956001282,16.927318970546587,54.137935657286796,0.8494748473167419,18.69300079996002,51.86495173493988,0.8348330855369568,0.8924046158790588,0.9202417731285095,0.9212548732757568,0.9295284152030945,0.9293155670166016,0.9251798987388611,0.9040530323982239,0.9368128180503845,0.9300023317337036
49,34.030930445332054,66.18713072076632,0.9137933254241943,15.473577834882835,57.08955854249413,0.8196256160736084,33.25017224716218,64.17853506484248,0.9059656262397766,29.70518430756767,60.280428708713195,0.9013271331787109,6.535593760488662,47.070020229694485,0.7998008728027344,27.444201848360166,50.76892225167813,0.8707598447799683,5.852284798798958,48.341164060188376,0.8361228704452515,3.149696072246702,49.260805858026885,0.8115526437759399,3.716499092256817,40.134902666736735,0.8040579557418823,0.927409291267395,0.8684943914413452,0.9267823100090027,0.94527268409729,0.896638810634613,0.9320668578147888,0.9195326566696167,0.9225388765335083,0.9135151505470276
50,31.11857317041993,53.55358569708043,0.8569124937057495,34.32501777710308,57.559741581634405,0.847108781337738,37.44826426026849,58.065962159149656,0.8713909983634949,19.274841265993057,53.67262498032177,0.8698055744171143,10.372381627886247,48.49139550210202,0.8131094574928284,25.834307995969304,56.74809673563806,0.8749309778213501,9.541097559292345,43.02129730788728,0.8027980923652649,0.0,0.0,0.5506582856178284,18.930563409375136,43.48381350572903,0.7947207093238831,0.7684986591339111,0.8107861876487732,0.7907750606536865,0.8438869118690491,0.7507429718971252,0.8398188352584839,0.8387386798858643,0.2710135281085968,0.8347334861755371
